,,,,,,,,,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,,-additional
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,-9999
1558,Jordan Lotomba,ch SUI,DF,Nice,fr Ligue 1,22,1998,19.8,4,0,0,11,23,2,44,12,17,0,0,0,86,12,15,44.4,Matches,fc4cf6a7
1559,Johaneko Louisjean,fr FRA,DF,Bordeaux,fr Ligue 1,17,2004,0.1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0.0,Matches,9af3613f
1560,Mamadou Loum,sn SEN,MF,Alavés,es La Liga,24,1996,25.7,10,0,0,50,22,1,4,37,22,0,0,0,160,100,42,70.4,Matches,bcfc4473
1561,Imran Louza,ma MAR,MF,Watford,eng Premier League,22,1999,15.7,6,0,0,24,13,0,54,42,21,0,0,0,129,12,19,38.7,Matches,e1df6989
1562,Matteo Lovato,it ITA,DF,Atalanta,it Serie A,21,2000,3.4,1,0,0,5,1,0,3,7,4,0,0,0,12,10,5,66.7,Matches,5fa57166
1563,Matteo Lovato,it ITA,DF,Cagliari,it Serie A,21,2000,13.8,4,0,0,16,14,0,0,28,15,0,1,0,106,21,23,47.7,Matches,5fa57166
1564,Eduard Löwen,de GER,MF,Bochum,de Bundesliga,24,1997,15.7,0,0,0,19,11,1,108,9,22,0,1,0,94,18,30,37.5,Matches,70678132
1565,Matthew Lowton,eng ENG,DF,Burnley,eng Premier League,32,1989,19.7,3,1,0,13,6,0,51,26,24,0,0,0,118,25,16,61.0,Matches,9a9c05db
1566,Anthony Lozano,hn HON,FWMF,Cádiz,es La Liga,28,1993,18.6,8,0,0,43,38,9,26,2,4,4,0,0,64,44,75,37.0,Matches,38699c72
1567,Hirving Lozano,mx MEX,FW,Napoli,it Serie A,26,1995,17.9,3,0,0,27,33,14,49,9,20,1,0,0,61,10,13,43.5,Matches,a69e4806
1568,Jean Lucas,br BRA,MF,Monaco,fr Ligue 1,23,1998,16.1,3,1,1,27,25,2,64,13,25,0,0,0,131,14,25,35.9,Matches,a99138af
1569,Anderson Lucoqui,ao ANG,DF,Mainz 05,de Bundesliga,24,1997,8.3,2,0,0,17,16,0,10,11,10,0,0,0,41,7,5,58.3,Matches,5569bf9a
1570,Florentino Luís,pt POR,MF,Getafe,es La Liga,21,1999,11.0,2,0,0,18,2,0,2,21,25,0,0,0,70,17,22,43.6,Matches,881cd6be
1571,José Luis Gayà,es ESP,DF,Valencia,es La Liga,26,1995,20.8,8,2,1,34,21,4,94,19,21,1,1,0,111,8,15,34.8,Matches,b05e2dbd
1572,José Luis Morales,es ESP,FWMF,Levante,es La Liga,34,1987,30.2,7,0,0,28,40,15,121,4,17,1,0,0,132,16,31,34.0,Matches,4a478107
1573,José Luis Palomino,ar ARG,DF,Atalanta,it Serie A,31,1990,29.7,9,0,0,39,17,1,9,100,40,0,0,0,272,105,48,68.6,Matches,921f6058
1574,Luismi,es ESP,FWMF,Sevilla,es La Liga,20,2001,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches,acf5410c
1575,Douglas Luiz,br BRA,MF,Aston Villa,eng Premier League,23,1998,30.2,7,0,0,37,41,0,83,34,39,0,0,0,183,26,32,44.8,Matches,6f7d826d
1576,Romelu Lukaku,be BEL,FW,Chelsea,eng Premier League,28,1993,17.7,1,0,0,8,12,14,7,0,1,3,0,0,33,51,47,52.0,Matches,5eae500a
1577,Castello Lukeba,fr FRA,DF,Lyon,fr Ligue 1,18,2002,23.3,1,0,0,18,13,1,0,38,19,0,2,0,179,41,36,53.2,Matches,5b9512c5
1578,Dodi Lukebakio,be BEL,FW,Hertha BSC,de Bundesliga,23,1997,2.0,0,0,0,4,5,1,1,2,1,1,0,0,7,1,3,25.0,Matches,0c61c77c
1579,Dodi Lukebakio,be BEL,FWMF,Wolfsburg,de Bundesliga,23,1997,9.8,2,0,0,15,13,11,18,13,4,0,0,0,46,11,15,42.3,Matches,0c61c77c
1580,Saša Lukić,rs SRB,MF,Torino,it Serie A,24,1996,33.1,10,0,0,85,46,1,25,24,34,0,0,0,203,42,54,43.8,Matches,c6e8cf1f
1581,Levi Lumeka,eng ENG,MFFW,Troyes,fr Ligue 1,22,1998,0.7,0,0,0,2,1,2,2,0,0,0,0,0,2,0,2,0.0,Matches,199ff86e
1582,Andriy Lunin,ua UKR,GK,Real Madrid,es La Liga,22,1999,2.0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,,Matches,3061e1ec
1583,Andrey Lunyov,ru RUS,GK,Leverkusen,de Bundesliga,29,1991,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches,8a6ab963
1584,Sebastiano Luperto,it ITA,DF,Empoli,it Serie A,24,1996,21.8,8,1,1,30,5,1,6,45,17,0,1,0,92,44,44,50.0,Matches,997fff07
1585,Andreas Luthe,de GER,GK,Union Berlin,de Bundesliga,34,1987,27.0,3,0,0,1,3,0,0,0,0,0,1,0,33,7,0,100.0,Matches,7fe12375
1586,Lyanco,br BRA,DF,Southampton,eng Premier League,24,1997,10.1,2,0,0,13,7,0,4,13,15,0,0,0,73,19,14,57.6,Matches,b5bf1770
1587,Charalambos Lykogiannis,gr GRE,DFFW,Cagliari,it Serie A,27,1993,20.2,2,0,0,29,14,0,95,31,12,0,1,0,90,33,29,53.2,Matches,5efc5389
1588,Yannis M'Bemba,fr FRA,DFFW,Nantes,fr Ligue 1,20,2001,0.1,0,0,0,0,1,0,0,0,0,0,0,0,2,2,0,100.0,Matches,080de72a
1589,Alexis Mac Allister,ar ARG,MFFW,Brighton,eng Premier League,22,1998,23.6,4,0,0,30,39,4,66,13,40,0,0,0,149,24,23,51.1,Matches,83d074ff
1590,Deiver Machado,co COL,DFMF,Lens,fr Ligue 1,27,1993,5.8,1,0,0,4,11,2,18,3,14,0,0,0,33,6,3,66.7,Matches,b3f8bdef
1591,Darwin Machís,ve VEN,MFFW,Granada,es La Liga,28,1993,15.3,2,0,0,20,30,6,66,15,13,0,0,0,85,12,18,40.0,Matches,ed6ea4d9
1592,Yvann Macon,fr FRA,DF,Saint-Étienne,fr Ligue 1,22,1998,17.0,7,0,0,23,12,0,58,18,22,0,0,1,100,16,29,35.6,Matches,0bb6e193
1593,James Maddison,eng ENG,MFFW,Leicester City,eng Premier League,24,1996,27.3,3,0,0,22,64,4,124,11,20,1,0,0,107,5,12,29.4,Matches,ee38d9c5
1594,Niki Mäenpää,fi FIN,GK,Venezia,it Serie A,36,1985,16.5,1,0,0,1,1,0,0,0,0,0,1,0,22,7,0,100.0,Matches,14a96e1c
1595,Pablo Maffeo,es ESP,DF,Mallorca,es La Liga,24,1997,32.7,10,0,0,32,59,3,109,46,47,3,0,0,170,59,57,50.9,Matches,5db04597
1596,Louis Mafouta,cf CTA,FW,Metz,fr Ligue 1,27,1994,5.8,0,0,0,16,5,5,1,0,0,0,0,0,8,10,22,31.3,Matches,bec3d251
1597,Giulio Maggiore,it ITA,MF,Spezia,it Serie A,23,1998,31.3,9,0,0,64,67,1,13,29,32,0,1,0,206,33,42,44.0,Matches,957e4c87
1598,Matej Maglica,hr CRO,MF,Stuttgart,de Bundesliga,22,1998,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0,Matches,36cf2caf
1599,Francesco Magnanelli,it ITA,MF,Sassuolo,it Serie A,36,1984,3.0,1,0,0,10,7,0,0,1,4,0,0,0,42,3,3,50.0,Matches,07767f42
1600,Giangiacomo Magnani,it ITA,DF,Hellas Verona,it Serie A,25,1995,5.9,3,1,0,11,9,0,2,10,7,0,0,0,26,19,14,57.6,Matches,cce9f582
1601,Giangiacomo Magnani,it ITA,DF,Sampdoria,it Serie A,25,1995,2.7,0,0,0,3,1,0,0,7,2,0,0,0,6,7,3,70.0,Matches,cce9f582
1602,Hugo Magnetti,fr FRA,MF,Brest,fr Ligue 1,23,1998,16.3,4,0,0,26,20,0,9,25,34,0,0,0,130,6,9,40.0,Matches,d4d35152
1603,Yohann Magnin,fr FRA,MFDF,Clermont Foot,fr Ligue 1,24,1997,19.1,2,0,0,21,25,5,12,20,31,1,0,0,99,36,39,48.0,Matches,caa7aaea
1604,Harry Maguire,eng ENG,DF,Manchester Utd,eng Premier League,28,1993,27.9,9,1,1,21,19,1,2,32,21,0,0,1,148,75,28,72.8,Matches,d8931174
1605,Riyad Mahrez,dz ALG,FW,Manchester City,eng Premier League,30,1991,16.6,0,0,0,10,15,3,97,6,3,0,0,0,70,8,14,36.4,Matches,892d5bb1
1606,Arne Maier,de GER,MF,Augsburg,de Bundesliga,22,1999,20.7,0,0,0,11,14,1,97,15,13,0,0,0,127,16,25,39.0,Matches,ab700320
1607,Habib Maïga,ci CIV,MF,Metz,fr Ligue 1,25,1996,14.1,6,0,0,29,10,0,22,14,28,0,1,0,92,17,11,60.7,Matches,e768de1f
1608,Mike Maignan,fr FRA,GK,Milan,it Serie A,26,1995,32.0,1,0,0,0,8,0,0,1,1,0,0,0,51,6,2,75.0,Matches,fcb38f57
1609,Ainsley Maitland-Niles,eng ENG,MF,Arsenal,eng Premier League,23,1997,3.0,0,0,0,4,3,0,2,4,4,0,0,0,23,3,3,50.0,Matches,e3a5814e
1610,Ainsley Maitland-Niles,eng ENG,DF,Roma,it Serie A,23,1997,5.4,0,0,0,6,1,1,25,6,6,0,0,0,42,8,1,88.9,Matches,e3a5814e
1611,Josh Maja,ng NGA,FW,Bordeaux,fr Ligue 1,22,1998,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches,bc0bfc64
1612,Abdul Majeed Waris,gh GHA,FWMF,Strasbourg,fr Ligue 1,29,1991,3.6,1,0,0,5,14,1,7,0,3,0,0,0,17,2,5,28.6,Matches,46907171
1613,Lovro Majer,hr CRO,MFFW,Rennes,fr Ligue 1,23,1998,20.4,1,0,0,35,32,1,85,11,21,0,0,0,140,3,10,23.1,Matches,fc46aab1
1614,Jean-Victor Makengo,fr FRA,MF,Udinese,it Serie A,23,1998,26.1,7,1,1,27,38,1,8,19,21,0,0,0,150,10,24,29.4,Matches,22bfb57e
1615,Béni Makouana,cg CGO,FWMF,Montpellier,fr Ligue 1,18,2002,3.6,4,0,0,10,1,2,9,3,2,0,0,0,10,1,9,10.0,Matches,654f49ca
1616,Nemanja Maksimović,rs SRB,MF,Getafe,es La Liga,26,1995,32.6,5,0,0,13,13,0,13,71,32,0,0,0,143,47,42,52.8,Matches,00b28772
1617,Nikola Maksimović,rs SRB,DF,Genoa,it Serie A,29,1991,12.4,2,0,0,10,8,0,3,12,6,0,1,0,73,33,21,61.1,Matches,16b9d5cf
1618,Kévin Malcuit,ma MAR,DFMF,Napoli,it Serie A,30,1991,3.2,3,0,0,8,5,0,12,8,2,0,0,0,15,4,5,44.4,Matches,d6a889ea
1619,Daniel Maldini,it ITA,MF,Milan,it Serie A,19,2001,1.6,1,0,0,4,1,1,1,1,3,0,0,0,5,3,5,37.5,Matches,801831fe
1620,Youssef Maleh,it ITA,MF,Fiorentina,it Serie A,22,1998,11.3,5,0,0,43,19,0,18,6,16,0,0,0,48,11,9,55.0,Matches,4c8845f7
1621,Donyell Malen,nl NED,FW,Dortmund,de Bundesliga,22,1999,18.7,2,0,0,10,31,9,27,10,10,2,0,0,62,9,18,33.3,Matches,864163f3
1622,Ruslan Malinovskyi,ua UKR,MFFW,Atalanta,it Serie A,28,1993,17.7,10,0,0,40,41,3,102,5,10,0,0,0,95,18,19,48.6,Matches,48d5bd33
1623,Hugo Mallo,es ESP,DF,Celta Vigo,es La Liga,30,1991,20.3,5,2,1,38,4,6,73,20,25,0,1,0,97,41,28,59.4,Matches,cb574619
1624,Lennard Maloney,us USA,DF,Dortmund,de Bundesliga,21,1999,0.1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,50.0,Matches,75402e99
1625,Mickael Malsa,mq MTQ,MF,Levante,es La Liga,25,1995,12.7,7,0,0,19,15,0,0,18,17,0,0,0,99,10,20,33.3,Matches,bbc19252
1626,Giorgi Mamardashvili,ge GEO,GK,Valencia,es La Liga,20,2000,18.0,2,0,0,0,2,0,0,0,0,0,0,0,29,6,0,100.0,Matches,d4b73232
1627,Rey Manaj,al ALB,FW,Spezia,it Serie A,24,1997,19.6,9,0,0,54,62,11,6,4,12,1,0,0,57,69,96,41.8,Matches,7703afb6
1628,Hianga Mananga Mbock,fr FRA,MF,Brest,fr Ligue 1,21,1999,8.9,3,0,0,20,10,0,0,5,12,0,1,0,48,11,11,50.0,Matches,0f86995c
1629,Vincent Manceau,fr FRA,DF,Angers,fr Ligue 1,32,1989,26.2,2,1,1,13,14,0,10,32,19,0,0,0,165,16,35,31.4,Matches,c26a3918
1630,Gianluca Mancini,it ITA,DF,Roma,it Serie A,25,1996,32.0,16,1,1,59,15,1,15,39,25,0,1,0,129,70,31,69.3,Matches,5aa53281
1631,Leonardo Mancuso,it ITA,FW,Empoli,it Serie A,29,1992,4.7,0,0,0,1,2,5,5,1,1,0,0,0,11,1,11,8.3,Matches,311027cb
1632,Steve Mandanda,fr FRA,GK,Marseille,fr Ligue 1,36,1985,9.0,0,0,0,0,0,0,0,1,0,0,0,0,20,1,0,100.0,Matches,1d2d5cc8
1633,Reinildo Mandava,mz MOZ,DF,Atlético Madrid,es La Liga,27,1994,14.4,5,0,0,26,20,0,16,21,25,0,1,0,88,22,26,45.8,Matches,c20bdcd7
1634,Reinildo Mandava,mz MOZ,DF,Lille,fr Ligue 1,27,1994,16.9,7,0,0,33,27,1,20,37,23,0,0,0,102,27,11,71.1,Matches,c20bdcd7
1635,Aïssa Mandi,dz ALG,DF,Villarreal,es La Liga,29,1991,15.3,3,0,0,14,5,1,0,13,5,0,0,1,54,26,21,55.3,Matches,fbd6378b
1636,Rolando Mandragora,it ITA,MF,Torino,it Serie A,24,1997,14.7,7,1,1,25,22,1,47,10,10,0,0,0,87,16,20,44.4,Matches,c7259b83
1637,Anthony Mandrea,dz ALG,GK,Angers,fr Ligue 1,24,1996,10.0,0,0,0,0,2,0,0,0,0,0,0,0,6,5,0,100.0,Matches,f7d3a773
1638,Sadio Mané,sn SEN,FW,Liverpool,eng Premier League,29,1992,31.3,5,0,0,50,50,19,50,8,20,1,0,0,109,30,50,37.5,Matches,c691bfe2
1639,Eliaquim Mangala,fr FRA,DF,Saint-Étienne,fr Ligue 1,30,1991,13.1,9,0,0,19,11,0,0,17,12,0,1,0,66,36,21,63.2,Matches,f520049f
1640,Orel Mangala,be BEL,MF,Stuttgart,de Bundesliga,23,1998,20.6,4,0,0,26,27,0,9,12,10,0,0,0,110,10,19,34.5,Matches,a572e291
1641,Thomas Mangani,fr FRA,MF,Angers,fr Ligue 1,34,1987,24.4,6,0,0,25,14,0,88,36,30,0,0,0,141,26,32,44.8,Matches,c801616a
1642,Ricardo Mangas,pt POR,DF,Bordeaux,fr Ligue 1,23,1998,26.1,2,0,0,26,29,1,39,25,22,0,1,1,132,25,31,44.6,Matches,eef2d8ce
1643,Kostas Manolas,gr GRE,DF,Napoli,it Serie A,30,1991,3.5,1,0,0,5,0,0,0,4,2,0,0,0,11,5,5,50.0,Matches,c707411f
1644,Javier Manquillo,es ESP,DF,Newcastle Utd,eng Premier League,27,1994,14.0,5,0,0,9,17,1,9,10,29,0,0,0,57,16,13,55.2,Matches,758dd7f0
1645,Myziane Maolida,fr FRA,MF,Nice,fr Ligue 1,22,1999,0.4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,,Matches,706a60e1
1646,Myziane Maolida,fr FRA,FWMF,Hertha BSC,de Bundesliga,22,1999,8.6,0,0,0,10,6,3,7,1,4,0,0,0,43,8,12,40.0,Matches,706a60e1
1647,Sekou Mara,fr FRA,FWMF,Bordeaux,fr Ligue 1,19,2002,10.1,2,0,0,21,24,2,4,2,4,1,0,0,34,30,34,46.9,Matches,3544641e
1648,Maranhão,br BRA,FWMF,Valencia,es La Liga,24,1996,10.8,3,0,0,23,22,4,3,7,11,1,0,0,34,41,51,44.6,Matches,ae86d473
1649,Nikola Maraš,rs SRB,DF,Rayo Vallecano,es La Liga,25,1995,11.6,4,0,0,11,4,0,0,15,9,0,0,0,37,29,27,51.8,Matches,b9d0446f
1650,Fernando Marçal,br BRA,MFDF,Wolves,eng Premier League,32,1989,16.1,3,0,0,29,9,1,60,28,22,0,1,0,94,26,18,59.1,Matches,9ae9eaea
1651,Marcelo,br BRA,DF,Real Madrid,es La Liga,33,1988,5.8,0,0,0,3,8,0,29,1,4,0,0,0,32,3,4,42.9,Matches,603116a7
1652,Marcelo,br BRA,DF,Bordeaux,fr Ligue 1,34,1987,10.0,4,0,0,7,2,0,0,13,5,0,0,1,56,42,6,87.5,Matches,e3d0b0c4
1653,Marcelo,br BRA,DF,Lyon,fr Ligue 1,34,1987,2.0,1,0,0,4,1,0,0,4,3,0,0,1,12,14,6,70.0,Matches,e3d0b0c4
1654,Solly March,eng ENG,DFFW,Brighton,eng Premier League,27,1994,19.4,1,0,0,31,20,12,94,17,17,0,0,0,92,17,26,39.5,Matches,bb5fbd2b
1655,Riccardo Marchizza,it ITA,DF,Empoli,it Serie A,23,1998,15.0,4,0,0,19,3,2,42,10,15,0,0,1,72,7,9,43.8,Matches,91d0fabf
1656,Gian Marco Ferrari,it ITA,DF,Sassuolo,it Serie A,29,1992,34.7,6,1,1,25,37,1,1,43,11,0,0,0,168,79,43,64.8,Matches,8650af85
1657,Iván Marcone,ar ARG,MF,Elche,es La Liga,31,1990,9.0,5,0,0,12,4,0,1,12,14,0,0,0,59,6,3,66.7,Matches,b14f755d
1658,Óscar de Marcos,es ESP,DF,Athletic Club,es La Liga,32,1989,18.7,5,0,0,25,8,3,48,19,37,0,0,0,120,22,16,57.9,Matches,9f323c71
1659,Davide Marfella,it ITA,GK,Napoli,it Serie A,21,1999,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches,880fcdbb
1660,José Mari,es ESP,MF,Cádiz,es La Liga,33,1987,4.3,3,1,1,8,7,0,1,7,7,0,0,0,25,4,7,36.4,Matches,6f4c734d
1661,Pablo Marí,es ESP,DF,Arsenal,eng Premier League,27,1993,2.0,1,0,0,1,1,0,0,3,3,0,0,0,10,5,3,62.5,Matches,aa54ec6f
1662,Pablo Marí,es ESP,DF,Udinese,it Serie A,27,1993,14.9,2,1,0,20,4,0,3,21,8,0,1,0,84,43,22,66.2,Matches,aa54ec6f
1663,José María Giménez,uy URU,DF,Atlético Madrid,es La Liga,26,1995,22.7,7,0,0,11,21,2,1,25,12,0,0,0,99,41,24,63.1,Matches,f0da930c
1664,Mariano,do DOM,FW,Real Madrid,es La Liga,27,1993,3.8,2,0,0,2,0,4,1,1,0,0,0,0,4,9,4,69.2,Matches,5c4dc0ff
1665,Răzvan Marin,ro ROU,MF,Cagliari,it Serie A,25,1996,31.3,6,1,1,36,31,1,127,10,21,0,0,0,168,20,25,44.4,Matches,7fac99d4
1666,Guillermo Maripán,cl CHI,DF,Monaco,fr Ligue 1,27,1994,20.4,5,0,0,20,10,1,1,25,24,0,0,0,118,45,36,55.6,Matches,d9764034
1667,Mika Màrmol,es ESP,DF,Barcelona,es La Liga,19,2002,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches,e7630876
1668,Omar Marmoush,eg EGY,FW,Wolfsburg,de Bundesliga,22,1999,0.3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100.0,Matches,0e0102eb
1669,Omar Marmoush,eg EGY,FW,Stuttgart,de Bundesliga,22,1999,17.5,3,0,0,33,57,7,44,7,17,0,0,0,81,28,31,47.5,Matches,0e0102eb
1670,Marquinhos,br BRA,DF,Paris S-G,fr Ligue 1,27,1994,31.8,5,0,0,6,11,1,6,16,14,0,0,0,181,41,39,51.3,Matches,d5f2f82b
1671,Roger Martí,es ESP,FW,Levante,es La Liga,30,1991,23.5,8,0,0,62,28,12,10,2,14,1,0,0,49,29,54,34.9,Matches,0ae4e09a
1672,Anthony Martial,fr FRA,FW,Manchester Utd,eng Premier League,25,1995,2.4,0,0,0,0,4,2,4,0,0,0,0,0,5,4,4,50.0,Matches,8b788c01
1673,Anthony Martial,fr FRA,FWMF,Sevilla,es La Liga,25,1995,5.4,1,0,0,5,11,0,6,0,1,0,0,0,7,6,9,40.0,Matches,8b788c01
1674,Martín,es ESP,MF,Cádiz,es La Liga,22,1999,1.3,1,0,0,4,1,0,3,1,2,0,0,0,5,6,5,54.5,Matches,cbec0059
1675,Aarón Martín,es ESP,DF,Mainz 05,de Bundesliga,24,1997,25.5,7,0,0,31,18,0,180,20,33,0,0,0,161,12,15,44.4,Matches,2f3e911a
1676,Ander Martin,es ESP,FWMF,Real Sociedad,es La Liga,20,2000,1.0,0,0,0,4,0,0,5,3,0,0,0,0,4,2,2,50.0,Matches,e1e75690
1677,Andrés Martín,es ESP,FWMF,Rayo Vallecano,es La Liga,22,1999,2.1,0,0,0,3,2,3,2,0,0,0,0,0,3,2,2,50.0,Matches,2ae30661
1678,Carlos Martín,es ESP,DF,Atlético Madrid,es La Liga,19,2002,0.1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,50.0,Matches,64035864
1679,Iván Martín,es ESP,MFFW,Alavés,es La Liga,22,1999,1.8,0,0,0,2,1,0,3,1,1,0,0,0,6,3,3,50.0,Matches,ae48c5cb
1680,Jonas Martin,fr FRA,MF,Rennes,fr Ligue 1,31,1990,23.4,8,0,0,32,14,0,3,22,20,0,0,0,147,20,15,57.1,Matches,468fdbad
1681,Martinelli,br BRA,FWMF,Arsenal,eng Premier League,20,2001,20.7,3,1,1,24,20,10,74,20,19,0,0,0,86,18,44,29.0,Matches,48a5a5d6
1682,Emiliano Martínez,ar ARG,GK,Aston Villa,eng Premier League,28,1992,36.0,4,0,0,0,6,0,0,0,1,0,0,0,32,8,1,88.9,Matches,7956236f
1683,Iñigo Martínez,es ESP,DF,Athletic Club,es La Liga,30,1991,26.0,9,2,1,33,27,2,11,39,13,0,1,0,175,69,46,60.0,Matches,3fc45c73
1684,Javi Martínez,es ESP,MFFW,Osasuna,es La Liga,21,1999,9.8,1,0,0,15,9,0,31,9,14,0,0,0,62,9,16,36.0,Matches,3672b352
1685,Josep Martinez,es ESP,GK,RB Leipzig,de Bundesliga,23,1998,1.0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,100.0,Matches,11d8aff0
1686,Lautaro Martínez,ar ARG,FW,Inter,it Serie A,23,1997,25.4,6,0,0,40,46,12,15,18,10,0,0,0,67,29,33,46.8,Matches,f7036e1c
1687,Pablo Martínez,es ESP,MF,Levante,es La Liga,23,1998,7.3,2,0,0,11,9,1,14,15,8,0,0,0,46,11,12,47.8,Matches,ecc77652
1688,Lucas Martínez Quarta,ar ARG,DF,Fiorentina,it Serie A,25,1996,15.9,8,0,0,30,11,0,1,19,25,0,1,0,121,47,32,59.5,Matches,3ec3c1c9
1689,Gelson Martins,pt POR,MFFW,Monaco,fr Ligue 1,26,1995,21.2,4,0,0,22,33,15,35,17,27,0,0,0,112,22,23,48.9,Matches,3ef0fa48
1690,Adam Marušić,me MNE,DF,Lazio,it Serie A,28,1992,30.2,6,1,1,26,13,0,29,41,18,0,0,0,155,33,22,60.0,Matches,d4535821
1691,Omar Mascarell,es ESP,MF,Elche,es La Liga,28,1993,27.7,6,0,0,37,22,0,5,48,26,0,0,0,172,42,39,51.9,Matches,11fd2b75
1692,Andrea Masiello,it ITA,DF,Genoa,it Serie A,35,1986,5.7,3,0,0,6,4,0,1,11,3,0,0,0,47,7,7,50.0,Matches,e0314d87
1693,Adam Masina,ma MAR,DF,Watford,eng Premier League,27,1994,12.0,0,0,0,14,4,0,30,18,13,0,1,0,70,29,17,63.0,Matches,de0f152c
1694,Erhan Mašović,rs SRB,DF,Bochum,de Bundesliga,22,1998,17.2,7,0,0,16,7,0,0,34,20,0,0,1,97,24,23,51.1,Matches,a396fb61
1695,Roberto Massimo,de GER,DFFW,Stuttgart,de Bundesliga,20,2000,9.7,0,0,0,8,4,4,17,3,5,0,0,0,44,4,9,30.8,Matches,fc62fdf4
1696,Arthur Masuaku,cd COD,DFFW,West Ham,eng Premier League,27,1993,7.2,1,0,0,8,4,0,23,9,23,0,0,0,50,16,6,72.7,Matches,57df7a11
1697,Jaime Mata,es ESP,FW,Getafe,es La Liga,32,1988,7.5,7,0,0,25,17,9,10,1,5,0,0,0,21,25,54,31.6,Matches,02319ad7
1698,Juan Mata,es ESP,MF,Manchester Utd,eng Premier League,33,1988,2.6,0,0,0,2,4,2,6,1,4,0,0,0,22,0,0,,Matches,29733c72
1699,Pape Matar Sarr,sn SEN,MF,Metz,fr Ligue 1,18,2002,23.7,7,0,0,32,22,1,4,29,26,0,0,0,171,29,30,49.2,Matches,feb5d972
1700,Eliot Matazo,be BEL,MF,Monaco,fr Ligue 1,19,2002,8.8,1,0,0,16,8,0,1,13,7,0,0,0,45,8,13,38.1,Matches,15944afd
1701,Aleš Matějů,cz CZE,DF,Venezia,it Serie A,25,1996,8.1,3,0,0,13,8,1,21,9,12,0,0,0,33,11,3,78.6,Matches,deb748c9
1702,Jean-Philippe Mateta,fr FRA,FW,Crystal Palace,eng Premier League,24,1997,12.7,2,0,0,16,7,13,6,4,4,0,0,0,30,39,43,47.6,Matches,50e6dc35
1703,Nemanja Matić,rs SRB,MF,Manchester Utd,eng Premier League,32,1988,15.4,3,0,0,26,3,0,6,31,18,0,0,0,124,28,17,62.2,Matches,eb7822d7
1704,Joël Matip,cm CMR,DF,Liverpool,eng Premier League,29,1991,31.0,2,0,0,13,11,0,1,44,34,0,0,0,185,108,50,68.4,Matches,b217ef29
1705,Chrislain Matsima,fr FRA,DF,Monaco,fr Ligue 1,19,2002,1.5,0,0,0,0,2,0,0,1,2,0,0,0,8,4,1,80.0,Matches,cf1ef7ec
1706,Azor Matusiwa,nl NED,MF,Reims,fr Ligue 1,23,1998,27.4,8,1,1,29,30,0,3,62,32,0,1,0,169,27,31,46.6,Matches,a17a94d6
1707,Neal Maupay,fr FRA,FW,Brighton,eng Premier League,24,1996,25.3,7,0,0,33,31,6,8,2,10,0,0,0,76,21,56,27.3,Matches,4bcf39f6
1708,Stephy Mavididi,eng ENG,FWMF,Montpellier,fr Ligue 1,23,1998,25.5,4,0,0,23,44,6,26,8,13,0,0,0,93,7,36,16.3,Matches,30144daa
1709,Konstantinos Mavropanos,gr GRE,DF,Stuttgart,de Bundesliga,23,1997,30.1,3,0,0,22,20,2,7,69,39,0,3,0,214,91,27,77.1,Matches,00963611
1710,Eric Maxim Choupo-Moting,cm CMR,FWMF,Bayern Munich,de Bundesliga,32,1989,4.2,0,0,0,7,7,2,3,5,9,0,0,0,14,8,12,40.0,Matches,0e6bc38c
1711,Luís Maximiano,pt POR,GK,Granada,es La Liga,22,1999,34.8,2,0,0,0,3,0,0,1,1,0,0,1,50,6,1,85.7,Matches,3318286e
1712,Borja Mayoral,es ESP,FWDF,Roma,it Serie A,24,1997,1.1,0,0,0,0,2,0,3,0,0,0,0,0,4,0,0,,Matches,64e8ed6d
1713,Borja Mayoral,es ESP,FW,Getafe,es La Liga,24,1997,11.6,3,0,0,13,20,4,7,4,5,0,0,0,47,21,30,41.2,Matches,64e8ed6d
1714,Derek Mazou-Sacko,fr FRA,FWDF,Troyes,fr Ligue 1,16,2004,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,Matches,810edef9
1715,Pasquale Mazzocchi,it ITA,DF,Venezia,it Serie A,26,1995,13.8,3,0,0,22,6,0,46,21,8,0,0,0,74,11,10,52.4,Matches,eb0ec070
